source node,target node,highlight_words
CHIN 206-00 - Chinese in Cultural Context,EDUC 385-00 - Schooling and Communities,teaching proficiency
EDUC 385-00 - Schooling and Communities,CHIN 206-00 - Chinese in Cultural Context,proficiency teaching
CHIN 251-00 - Chinese Biographical Histories,JAPN 343-00 - Nature in Popular Media,cultural premodern
JAPN 343-00 - Nature in Popular Media,CHIN 251-00 - Chinese Biographical Histories,premodern cultural
CHIN 251-00 - Chinese Biographical Histories,ARBC 103-00 - Elementary Arabic,contemporary language
ARBC 103-00 - Elementary Arabic,CHIN 251-00 - Chinese Biographical Histories,language contemporary
CHIN 251-00 - Chinese Biographical Histories,JAPN 206-00 - Japanese in Cultural Context,cultural culture
JAPN 206-00 - Japanese in Cultural Context,CHIN 251-00 - Chinese Biographical Histories,culture cultural
CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,ARCN 222-00 - Exper Arch & History & Lab,premodern ancient
ARCN 222-00 - Exper Arch & History & Lab,CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,ancient premodern
CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,PHIL 124-00 - Friendship,contemporary life
PHIL 124-00 - Friendship,CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,life contemporary
CLAS 123-00 - Greek Archaeology and Art,RELG 110-00 - Understanding Religion,culture
RELG 110-00 - Understanding Religion,CLAS 123-00 - Greek Archaeology and Art,culture
CLAS 123-00 - Greek Archaeology and Art,HIST 251-00 - Japan and Europe,history social
HIST 251-00 - Japan and Europe,CLAS 123-00 - Greek Archaeology and Art,social history
CLAS 123-00 - Greek Archaeology and Art,SPAN 220-00 - Latin American Narrative,contemporary greece
SPAN 220-00 - Latin American Narrative,CLAS 123-00 - Greek Archaeology and Art,greece contemporary
CLAS 142-00 - Being an Heir,THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),modern cinematic
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),CLAS 142-00 - Being an Heir,cinematic modern
CLAS 142-00 - Being an Heir,THEA 309-00 - Project Course (Shakespeare's Twelfth Night),modern
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),CLAS 142-00 - Being an Heir,modern
CLAS 214-00 - Gender & Sexlty Classicl Antiqty,AMST 396-00 - Junior Research Seminar (Producing Latinidad),gender social
AMST 396-00 - Junior Research Seminar (Producing Latinidad),CLAS 214-00 - Gender & Sexlty Classicl Antiqty,social gender
CLAS 214-00 - Gender & Sexlty Classicl Antiqty,SPAN 369-00 - The Carnival Trail,cultural ancient
SPAN 369-00 - The Carnival Trail,CLAS 214-00 - Gender & Sexlty Classicl Antiqty,ancient cultural
CLAS 240-00 - Rome: Village to Superpower,POSC 302-00 - Subord Pols/Intergrp Reltns,political social
POSC 302-00 - Subord Pols/Intergrp Reltns,CLAS 240-00 - Rome: Village to Superpower,social political
CLAS 240-00 - Rome: Village to Superpower,"RELG 213-00 - Religion, Medicine, & Healing",cultural religious
"RELG 213-00 - Religion, Medicine, & Healing",CLAS 240-00 - Rome: Village to Superpower,religious cultural
CLAS 240-00 - Rome: Village to Superpower,ARCN 222-00 - Exper Arch & History & Lab,premodern evolution
ARCN 222-00 - Exper Arch & History & Lab,CLAS 240-00 - Rome: Village to Superpower,evolution premodern
CS 111-01 - Intro to Computer Science,STAT 230-00 - Applied Regression Analysis,software iterative
STAT 230-00 - Applied Regression Analysis,CS 111-01 - Intro to Computer Science,iterative software
CS 111-01 - Intro to Computer Science,MATH 134-00 - Linear Algebra with Applications,software algorithms
MATH 134-00 - Linear Algebra with Applications,CS 111-01 - Intro to Computer Science,algorithms software
CS 111-01 - Intro to Computer Science,STAT 120-01 - Introduction to Statistics,software data
STAT 120-01 - Introduction to Statistics,CS 111-01 - Intro to Computer Science,data software
CS 201-01 - Data Structures,ECON 274-00 - Labor Economics,choose credit
ECON 274-00 - Labor Economics,CS 201-01 - Data Structures,credit choose
CS 201-01 - Data Structures,CS 311-00 - Computer Graphics,computer
CS 311-00 - Computer Graphics,CS 201-01 - Data Structures,computer
CS 202-00 - Math of Computer Science,CS 254-00 - Computability and Complexity,computers computer
CS 254-00 - Computability and Complexity,CS 202-00 - Math of Computer Science,computer computers
CS 202-00 - Math of Computer Science,CS 208-01 - Intro to Computer Systems,computer
CS 208-01 - Intro to Computer Systems,CS 202-00 - Math of Computer Science,computer
CS 208-01 - Intro to Computer Systems,CS 257-01 - Software Design,computer
CS 257-01 - Software Design,CS 208-01 - Intro to Computer Systems,computer
CS 208-01 - Intro to Computer Systems,PSYC 382-00 - Topic Social & Personality: Endings,interactions programs
PSYC 382-00 - Topic Social & Personality: Endings,CS 208-01 - Intro to Computer Systems,programs interactions
CS 208-01 - Intro to Computer Systems,GRK 226-00 - Heroes & Monsters in Ancient Greek,means curious
GRK 226-00 - Heroes & Monsters in Ancient Greek,CS 208-01 - Intro to Computer Systems,curious means
CS 251-00 - Programming Languages: Design and Implementation,CGSC 330-00 - Embodied Cognition,language semantics
CGSC 330-00 - Embodied Cognition,CS 251-00 - Programming Languages: Design and Implementation,semantics language
CS 251-00 - Programming Languages: Design and Implementation,CHEM 351-00 - Inorganic Chemistry,mechanisms
CHEM 351-00 - Inorganic Chemistry,CS 251-00 - Programming Languages: Design and Implementation,mechanisms
CS 252-00 - Algorithms,STAT 220-00 - Introduction to Data Science,computational data
STAT 220-00 - Introduction to Data Science,CS 252-00 - Algorithms,data computational
CS 252-00 - Algorithms,STAT 250-00 - Intro to Statistical Inference,data
STAT 250-00 - Intro to Statistical Inference,CS 252-00 - Algorithms,data
CS 254-00 - Computability and Complexity,CS 202-00 - Math of Computer Science,computer computers
CS 202-00 - Math of Computer Science,CS 254-00 - Computability and Complexity,computers computer
CS 254-00 - Computability and Complexity,MATH 241-00 - Ordinary Differentl Equations,mathematical models
MATH 241-00 - Ordinary Differentl Equations,CS 254-00 - Computability and Complexity,models mathematical
CS 257-01 - Software Design,CS 208-01 - Intro to Computer Systems,computer
CS 208-01 - Intro to Computer Systems,CS 257-01 - Software Design,computer
CS 257-01 - Software Design,EDUC 338-00 - Multicultural Education,especially methodologies
EDUC 338-00 - Multicultural Education,CS 257-01 - Software Design,methodologies especially
CS 257-01 - Software Design,ASST 110-00 - Elementary Hindi/Urdu,scripts write
ASST 110-00 - Elementary Hindi/Urdu,CS 257-01 - Software Design,write scripts
CS 304-00 - Social Computing,AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,research science
AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,CS 304-00 - Social Computing,science research
CS 304-00 - Social Computing,SPAN 369-00 - The Carnival Trail,interdisciplinary social
SPAN 369-00 - The Carnival Trail,CS 304-00 - Social Computing,social interdisciplinary
CS 311-00 - Computer Graphics,"RELG 213-00 - Religion, Medicine, & Healing",narratives scientific
"RELG 213-00 - Religion, Medicine, & Healing",CS 311-00 - Computer Graphics,scientific narratives
CS 311-00 - Computer Graphics,ECON 274-00 - Labor Economics,human tradeoffs
ECON 274-00 - Labor Economics,CS 311-00 - Computer Graphics,tradeoffs human
CS 311-00 - Computer Graphics,GRK 226-00 - Heroes & Monsters in Ancient Greek,modern threedimensional
GRK 226-00 - Heroes & Monsters in Ancient Greek,CS 311-00 - Computer Graphics,threedimensional modern
CS 320-00 - Machine Learning,MUSC 313-00 - Video Game Music,technology modern
MUSC 313-00 - Video Game Music,CS 320-00 - Machine Learning,modern technology
CS 320-00 - Machine Learning,EDUC 385-00 - Schooling and Communities,organizations education
EDUC 385-00 - Schooling and Communities,CS 320-00 - Machine Learning,education organizations
CS 320-00 - Machine Learning,CAMS 111-01 - Intro to Cinema & Media Production,individual modern
CAMS 111-01 - Intro to Cinema & Media Production,CS 320-00 - Machine Learning,modern individual
CS 347-00 - Advanced Software Design,CAMS 111-01 - Intro to Cinema & Media Production,advanced project
CAMS 111-01 - Intro to Cinema & Media Production,CS 347-00 - Advanced Software Design,project advanced
CS 347-00 - Advanced Software Design,HIST 298-00 - Junior Colloquium,sophisticated modern
HIST 298-00 - Junior Colloquium,CS 347-00 - Advanced Software Design,modern sophisticated
CS 348-00 - Parallel & Distribut Computing,CS 257-01 - Software Design,interface computer
CS 257-01 - Software Design,CS 348-00 - Parallel & Distribut Computing,computer interface
CS 348-00 - Parallel & Distribut Computing,STAT 230-00 - Applied Regression Analysis,software models
STAT 230-00 - Applied Regression Analysis,CS 348-00 - Parallel & Distribut Computing,models software
CS 361-00 - Artificial Life & Dig Evolutn,GEOL 240-52 - Geophysics & Lab,model hypotheses
GEOL 240-52 - Geophysics & Lab,CS 361-00 - Artificial Life & Dig Evolutn,hypotheses model
CS 361-00 - Artificial Life & Dig Evolutn,SPAN 205-00 - Conversation & Composition,component dynamics
SPAN 205-00 - Conversation & Composition,CS 361-00 - Artificial Life & Dig Evolutn,dynamics component
CS 361-00 - Artificial Life & Dig Evolutn,BIOL 370-00 - Seminar: Slct Tpcs in Virology,research
BIOL 370-00 - Seminar: Slct Tpcs in Virology,CS 361-00 - Artificial Life & Dig Evolutn,research
DANC 190-00 - Fields of Performance,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,processes creative
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,DANC 190-00 - Fields of Performance,creative processes
DANC 190-00 - Fields of Performance,STAT 230-00 - Applied Regression Analysis,building structures
STAT 230-00 - Applied Regression Analysis,DANC 190-00 - Fields of Performance,structures building
DANC 190-00 - Fields of Performance,ECON 265-00 - Game Theory & Econ Application,modern games
ECON 265-00 - Game Theory & Econ Application,DANC 190-00 - Fields of Performance,games modern
DANC 266-00 - Reading the Dancing Body,AMST 115-00 - Intro to American Studies,contemporary gender
AMST 115-00 - Intro to American Studies,DANC 266-00 - Reading the Dancing Body,gender contemporary
DANC 266-00 - Reading the Dancing Body,POSC 120-00 - Democracy and Dictatorship,contemporary politics
POSC 120-00 - Democracy and Dictatorship,DANC 266-00 - Reading the Dancing Body,politics contemporary
ECON 110-01 - Principles of Macroeconomics,ECON 111-01 - Principles of Microeconomics,economics
ECON 111-01 - Principles of Microeconomics,ECON 110-01 - Principles of Macroeconomics,economics
ECON 110-01 - Principles of Macroeconomics,ECON 270-00 - Economics of the Public Sector,economy economic
ECON 270-00 - Economics of the Public Sector,ECON 110-01 - Principles of Macroeconomics,economic economy
ECON 111-01 - Principles of Microeconomics,ECON 270-00 - Economics of the Public Sector,economy policy
ECON 270-00 - Economics of the Public Sector,ECON 111-01 - Principles of Microeconomics,policy economy
ECON 111-01 - Principles of Microeconomics,ECON 110-01 - Principles of Macroeconomics,economics
ECON 110-01 - Principles of Macroeconomics,ECON 111-01 - Principles of Microeconomics,economics
ECON 265-00 - Game Theory & Econ Application,DANC 190-00 - Fields of Performance,games modern
DANC 190-00 - Fields of Performance,ECON 265-00 - Game Theory & Econ Application,modern games
ECON 265-00 - Game Theory & Econ Application,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,processes modern
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,ECON 265-00 - Game Theory & Econ Application,modern processes
ECON 265-00 - Game Theory & Econ Application,STAT 230-00 - Applied Regression Analysis,statistical theoretic
STAT 230-00 - Applied Regression Analysis,ECON 265-00 - Game Theory & Econ Application,theoretic statistical
ECON 269-00 - Economics of Climate Change,THEA 185-00 - The Speaking Voice,practical meaningful
THEA 185-00 - The Speaking Voice,ECON 269-00 - Economics of Climate Change,meaningful practical
ECON 269-00 - Economics of Climate Change,HIST 347-00 - The Global Cold War,economic
HIST 347-00 - The Global Cold War,ECON 269-00 - Economics of Climate Change,economic
ECON 270-00 - Economics of the Public Sector,ECON 111-01 - Principles of Microeconomics,policy economy
ECON 111-01 - Principles of Microeconomics,ECON 270-00 - Economics of the Public Sector,economy policy
ECON 270-00 - Economics of the Public Sector,ECON 110-01 - Principles of Macroeconomics,economic economy
ECON 110-01 - Principles of Macroeconomics,ECON 270-00 - Economics of the Public Sector,economy economic
ECON 270-00 - Economics of the Public Sector,BIOL 240-00 - Genetics,mechanism empirical
BIOL 240-00 - Genetics,ECON 270-00 - Economics of the Public Sector,empirical mechanism
ECON 274-00 - Labor Economics,CS 311-00 - Computer Graphics,tradeoffs human
CS 311-00 - Computer Graphics,ECON 274-00 - Labor Economics,human tradeoffs
ECON 274-00 - Labor Economics,"RELG 213-00 - Religion, Medicine, & Healing",health society
"RELG 213-00 - Religion, Medicine, & Healing",ECON 274-00 - Labor Economics,society health
ECON 274-00 - Labor Economics,PHIL 124-00 - Friendship,historically society
PHIL 124-00 - Friendship,ECON 274-00 - Labor Economics,society historically
ECON 277-00 - Hist & Theory of Finan Crises,BIOL 370-00 - Seminar: Slct Tpcs in Virology,implications empirical
BIOL 370-00 - Seminar: Slct Tpcs in Virology,ECON 277-00 - Hist & Theory of Finan Crises,empirical implications
ECON 277-00 - Hist & Theory of Finan Crises,JAPN 103-01 - Elementary Japanese,japanese foreign
JAPN 103-01 - Elementary Japanese,ECON 277-00 - Hist & Theory of Finan Crises,foreign japanese
ECON 277-00 - Hist & Theory of Finan Crises,RUSS 103-00 - Elementary Russian,method patterns
RUSS 103-00 - Elementary Russian,ECON 277-00 - Hist & Theory of Finan Crises,patterns method
ECON 280-00 - International Trade,GERM 103-01 - Intermediate German,patterns
GERM 103-01 - Intermediate German,ECON 280-00 - International Trade,patterns
ECON 280-00 - International Trade,MATH 210-00 - Calculus 3,derivatives patterns
MATH 210-00 - Calculus 3,ECON 280-00 - International Trade,patterns derivatives
ECON 280-00 - International Trade,MATH 120-00 - Calculus 2,derivatives models
MATH 120-00 - Calculus 2,ECON 280-00 - International Trade,models derivatives
ECON 330-00 - Intermediate Price Theory,ECON 331-00 - Intermediate Macro Theory,sophomores juniors
ECON 331-00 - Intermediate Macro Theory,ECON 330-00 - Intermediate Price Theory,juniors sophomores
ECON 330-00 - Intermediate Price Theory,"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",apply framework
"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",ECON 330-00 - Intermediate Price Theory,framework apply
ECON 330-00 - Intermediate Price Theory,EDUC 385-00 - Schooling and Communities,teaching instructor
EDUC 385-00 - Schooling and Communities,ECON 330-00 - Intermediate Price Theory,instructor teaching
ECON 331-00 - Intermediate Macro Theory,ECON 330-00 - Intermediate Price Theory,juniors sophomores
ECON 330-00 - Intermediate Price Theory,ECON 331-00 - Intermediate Macro Theory,sophomores juniors
ECON 331-00 - Intermediate Macro Theory,CHIN 206-00 - Chinese in Cultural Context,proficiency speak
CHIN 206-00 - Chinese in Cultural Context,ECON 331-00 - Intermediate Macro Theory,speak proficiency
ECON 331-00 - Intermediate Macro Theory,RUSS 103-00 - Elementary Russian,method level
RUSS 103-00 - Elementary Russian,ECON 331-00 - Intermediate Macro Theory,level method
EDUC 110-00 - Intro to Educational Studies,EDUC 242-00 - Education and Technology,education
EDUC 242-00 - Education and Technology,EDUC 110-00 - Intro to Educational Studies,education
EDUC 110-00 - Intro to Educational Studies,PHIL 124-00 - Friendship,scholarly contemporary
PHIL 124-00 - Friendship,EDUC 110-00 - Intro to Educational Studies,contemporary scholarly
EDUC 242-00 - Education and Technology,PHIL 124-00 - Friendship,types teaching
PHIL 124-00 - Friendship,EDUC 242-00 - Education and Technology,teaching types
EDUC 242-00 - Education and Technology,EDUC 110-00 - Intro to Educational Studies,education
EDUC 110-00 - Intro to Educational Studies,EDUC 242-00 - Education and Technology,education
EDUC 242-00 - Education and Technology,"POSC 315-00 - Polarization, Parties & Power",institutions increasingly
"POSC 315-00 - Polarization, Parties & Power",EDUC 242-00 - Education and Technology,increasingly institutions
EDUC 338-00 - Multicultural Education,ASST 110-00 - Elementary Hindi/Urdu,cultural cultures
ASST 110-00 - Elementary Hindi/Urdu,EDUC 338-00 - Multicultural Education,cultures cultural
EDUC 338-00 - Multicultural Education,ARTS 230-01 - Ceramics: Throwing,civic cultural
ARTS 230-01 - Ceramics: Throwing,EDUC 338-00 - Multicultural Education,cultural civic
EDUC 338-00 - Multicultural Education,CHIN 206-00 - Chinese in Cultural Context,cultural
CHIN 206-00 - Chinese in Cultural Context,EDUC 338-00 - Multicultural Education,cultural
EDUC 385-00 - Schooling and Communities,HEBR 102-00 - Elementary Modern Hebrew,knowledge teaching
HEBR 102-00 - Elementary Modern Hebrew,EDUC 385-00 - Schooling and Communities,teaching knowledge
EDUC 385-00 - Schooling and Communities,MUSC 313-00 - Video Game Music,knowledge interaction
MUSC 313-00 - Video Game Music,EDUC 385-00 - Schooling and Communities,interaction knowledge
EDUC 385-00 - Schooling and Communities,ECON 331-00 - Intermediate Macro Theory,instructor teaching
ECON 331-00 - Intermediate Macro Theory,EDUC 385-00 - Schooling and Communities,teaching instructor
ENGL 109-00 - Craft of Academic Writing,ENGL 371-00 - Adv Poetry Workshop,write essays
ENGL 371-00 - Adv Poetry Workshop,ENGL 109-00 - Craft of Academic Writing,essays write
ENGL 109-00 - Craft of Academic Writing,MUSC 221-00 - Electronic Music Composition,fundamental structure
MUSC 221-00 - Electronic Music Composition,ENGL 109-00 - Craft of Academic Writing,structure fundamental
ENGL 115-00 - The Art of Storytelling,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,create various
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,ENGL 115-00 - The Art of Storytelling,various create
ENGL 115-00 - The Art of Storytelling,CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),relevant traditions
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),ENGL 115-00 - The Art of Storytelling,traditions relevant
ENGL 160-00 - Creative Writing,SPAN 220-00 - Latin American Narrative,literature fiction
SPAN 220-00 - Latin American Narrative,ENGL 160-00 - Creative Writing,fiction literature
ENGL 160-00 - Creative Writing,"POSC 348-00 - Strangers, Foreigners, and Exiles",cultural traditional
"POSC 348-00 - Strangers, Foreigners, and Exiles",ENGL 160-00 - Creative Writing,traditional cultural
ENGL 202-00 - The Bible as Literature,AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,history american
AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,ENGL 202-00 - The Bible as Literature,american history
ENGL 202-00 - The Bible as Literature,FREN 310-00 - The Art of Scandal,culture literary
FREN 310-00 - The Art of Scandal,ENGL 202-00 - The Bible as Literature,literary culture
ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),theatrical
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),theatrical
ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),THEA 309-00 - Project Course (Shakespeare's Twelfth Night),theatrical play
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),play theatrical
ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),"MUSC 217-00 - Opera: Stage, Screen, Recordng",contemporary music
"MUSC 217-00 - Opera: Stage, Screen, Recordng",ENGL 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),music contemporary
ENGL 230-00 - Stds AfrAmer Lit: 1950s-Prsnt,ECON 270-00 - Economics of the Public Sector,andor literature
ECON 270-00 - Economics of the Public Sector,ENGL 230-00 - Stds AfrAmer Lit: 1950s-Prsnt,literature andor
ENGL 230-00 - Stds AfrAmer Lit: 1950s-Prsnt,ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,islamic literature
ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,ENGL 230-00 - Stds AfrAmer Lit: 1950s-Prsnt,literature islamic
ENGL 253-00 - Food Writing,"POSC 315-00 - Polarization, Parties & Power",moreover culture
"POSC 315-00 - Polarization, Parties & Power",ENGL 253-00 - Food Writing,culture moreover
ENGL 253-00 - Food Writing,"AFST 300-00 - Race, Racism, and the Beloved Community in the US",experiences culture
"AFST 300-00 - Race, Racism, and the Beloved Community in the US",ENGL 253-00 - Food Writing,culture experiences
ENGL 255-00 - The Poetics of Disability,THEA 226-00 - Avant-Garde Theater & Perform,social contemporary
THEA 226-00 - Avant-Garde Theater & Perform,ENGL 255-00 - The Poetics of Disability,contemporary social
ENGL 255-00 - The Poetics of Disability,MUSC 313-00 - Video Game Music,genre
MUSC 313-00 - Video Game Music,ENGL 255-00 - The Poetics of Disability,genre
ENGL 268-00 - Writing with AI,PHIL 209-00 - Philosophy of Theater,anyway think
PHIL 209-00 - Philosophy of Theater,ENGL 268-00 - Writing with AI,think anyway
ENGL 268-00 - Writing with AI,"POSC 348-00 - Strangers, Foreigners, and Exiles",even think
"POSC 348-00 - Strangers, Foreigners, and Exiles",ENGL 268-00 - Writing with AI,think even
ENGL 295-00 - Critical Methods,SPAN 205-00 - Conversation & Composition,literary
SPAN 205-00 - Conversation & Composition,ENGL 295-00 - Critical Methods,literary
ENGL 295-00 - Critical Methods,BIOL 370-00 - Seminar: Slct Tpcs in Virology,studying theoretical
BIOL 370-00 - Seminar: Slct Tpcs in Virology,ENGL 295-00 - Critical Methods,theoretical studying
ENGL 295-00 - Critical Methods,LATN 103-00 - Intro Latin Prose and Poetry,poetry contemporary
LATN 103-00 - Intro Latin Prose and Poetry,ENGL 295-00 - Critical Methods,contemporary poetry
"ENGL 338-00 - Dickinson, Moore, Bishop",HIST 116-00 - Intro to Indigenous Histories,colonialism society
HIST 116-00 - Intro to Indigenous Histories,"ENGL 338-00 - Dickinson, Moore, Bishop",society colonialism
"ENGL 338-00 - Dickinson, Moore, Bishop",FREN 245-00 - Franco Lit: Africa&Caribbean,cultural brazil
FREN 245-00 - Franco Lit: Africa&Caribbean,"ENGL 338-00 - Dickinson, Moore, Bishop",brazil cultural
ENGL 370-00 - Advanced Fiction Workshop,SPAN 205-00 - Conversation & Composition,written write
SPAN 205-00 - Conversation & Composition,ENGL 370-00 - Advanced Fiction Workshop,write written
ENGL 370-00 - Advanced Fiction Workshop,ENGL 295-00 - Critical Methods,literary fiction
ENGL 295-00 - Critical Methods,ENGL 370-00 - Advanced Fiction Workshop,fiction literary
ENGL 370-00 - Advanced Fiction Workshop,HEBR 102-00 - Elementary Modern Hebrew,grammar read
HEBR 102-00 - Elementary Modern Hebrew,ENGL 370-00 - Advanced Fiction Workshop,read grammar
ENGL 371-00 - Adv Poetry Workshop,ENGL 109-00 - Craft of Academic Writing,essays write
ENGL 109-00 - Craft of Academic Writing,ENGL 371-00 - Adv Poetry Workshop,write essays
ENGL 371-00 - Adv Poetry Workshop,MUSC 221-00 - Electronic Music Composition,music contemporary
MUSC 221-00 - Electronic Music Composition,ENGL 371-00 - Adv Poetry Workshop,contemporary music
ENGL 371-00 - Adv Poetry Workshop,MUSC 313-00 - Video Game Music,music contemporary
MUSC 313-00 - Video Game Music,ENGL 371-00 - Adv Poetry Workshop,contemporary music
ENTS 120-52 - Introduction to Geospatial Analysis & Lab,STAT 250-00 - Intro to Statistical Inference,data
STAT 250-00 - Intro to Statistical Inference,ENTS 120-52 - Introduction to Geospatial Analysis & Lab,data
ENTS 120-52 - Introduction to Geospatial Analysis & Lab,POSC 230-00 - Methods of Political Research,data biophysical
POSC 230-00 - Methods of Political Research,ENTS 120-52 - Introduction to Geospatial Analysis & Lab,biophysical data
FREN 103-01 - Intermediate French,SPAN 103-01 - Intermediate Spanish,patterns
SPAN 103-01 - Intermediate Spanish,FREN 103-01 - Intermediate French,patterns
FREN 103-01 - Intermediate French,CHEM 362-00 - Chemistry at the Nanoscale,literature patterns
CHEM 362-00 - Chemistry at the Nanoscale,FREN 103-01 - Intermediate French,patterns literature
FREN 103-01 - Intermediate French,ASLN 111-00 - Writing Systems,historical cultural
ASLN 111-00 - Writing Systems,FREN 103-01 - Intermediate French,cultural historical
FREN 245-00 - Franco Lit: Africa&Caribbean,SOAN 111-00 - Introduction to Sociology,social
SOAN 111-00 - Introduction to Sociology,FREN 245-00 - Franco Lit: Africa&Caribbean,social
FREN 245-00 - Franco Lit: Africa&Caribbean,POSC 252-00 - Theoretical Foundations of the American Regime,alexander simone
POSC 252-00 - Theoretical Foundations of the American Regime,FREN 245-00 - Franco Lit: Africa&Caribbean,simone alexander
FREN 245-00 - Franco Lit: Africa&Caribbean,"ENGL 338-00 - Dickinson, Moore, Bishop",brazil cultural
"ENGL 338-00 - Dickinson, Moore, Bishop",FREN 245-00 - Franco Lit: Africa&Caribbean,cultural brazil
FREN 310-00 - The Art of Scandal,PHIL 270-00 - Ancient Greek Philosophy,context culture
PHIL 270-00 - Ancient Greek Philosophy,FREN 310-00 - The Art of Scandal,culture context
FREN 310-00 - The Art of Scandal,SPAN 369-00 - The Carnival Trail,cultural culture
SPAN 369-00 - The Carnival Trail,FREN 310-00 - The Art of Scandal,culture cultural
GEOL 110-52 - Introduction to Geology & Lab,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,processes
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,GEOL 110-52 - Introduction to Geology & Lab,processes
GEOL 110-52 - Introduction to Geology & Lab,BIOL 352-00 - Population Ecology,nature tectonics
BIOL 352-00 - Population Ecology,GEOL 110-52 - Introduction to Geology & Lab,tectonics nature
GEOL 110-52 - Introduction to Geology & Lab,PHYS 352-00 - Advanced Elect & Magnetism,equations water
PHYS 352-00 - Advanced Elect & Magnetism,GEOL 110-52 - Introduction to Geology & Lab,water equations
GEOL 230-52 - Paleobiology & Lab,JAPN 103-01 - Elementary Japanese,japanese ecology
JAPN 103-01 - Elementary Japanese,GEOL 230-52 - Paleobiology & Lab,ecology japanese
GEOL 230-52 - Paleobiology & Lab,PHYS 235-52 - Electricity & Magnetism & Lab,interactions laboratories
PHYS 235-52 - Electricity & Magnetism & Lab,GEOL 230-52 - Paleobiology & Lab,laboratories interactions
GEOL 230-52 - Paleobiology & Lab,MATH 111-00 - Introduction to Calculus,fundamental evolution
MATH 111-00 - Introduction to Calculus,GEOL 230-52 - Paleobiology & Lab,evolution fundamental
GEOL 240-52 - Geophysics & Lab,SPAN 205-00 - Conversation & Composition,cultural interpret
SPAN 205-00 - Conversation & Composition,GEOL 240-52 - Geophysics & Lab,interpret cultural
GEOL 240-52 - Geophysics & Lab,ARTS 122-00 - Introduction to Sculpture,structures structure
ARTS 122-00 - Introduction to Sculpture,GEOL 240-52 - Geophysics & Lab,structure structures
GEOL 240-52 - Geophysics & Lab,BIOL 370-00 - Seminar: Slct Tpcs in Virology,laboratory laboratories
BIOL 370-00 - Seminar: Slct Tpcs in Virology,GEOL 240-52 - Geophysics & Lab,laboratories laboratory
GERM 103-01 - Intermediate German,ECON 280-00 - International Trade,patterns
ECON 280-00 - International Trade,GERM 103-01 - Intermediate German,patterns
GERM 103-01 - Intermediate German,MATH 210-00 - Calculus 3,integrals patterns
MATH 210-00 - Calculus 3,GERM 103-01 - Intermediate German,patterns integrals
GERM 103-01 - Intermediate German,MATH 120-00 - Calculus 2,integrals patterns
MATH 120-00 - Calculus 2,GERM 103-01 - Intermediate German,patterns integrals
GERM 217-00 - Queer Culture in Germany,POSC 242-00 - Middle East Politics,religion culture
POSC 242-00 - Middle East Politics,GERM 217-00 - Queer Culture in Germany,culture religion
GERM 217-00 - Queer Culture in Germany,RELG 110-00 - Understanding Religion,culture
RELG 110-00 - Understanding Religion,GERM 217-00 - Queer Culture in Germany,culture
GERM 221-00 - Modern Love,POSC 302-00 - Subord Pols/Intergrp Reltns,attitudes gender
POSC 302-00 - Subord Pols/Intergrp Reltns,GERM 221-00 - Modern Love,gender attitudes
